,InvoiceID,Barcode
0,VN0001010102230002,"2010902000198, 8935049510864, 2602010136625"
1,VN0001010102230003,"2010809000253, 2701020000046"
2,VN0001010102230005,"8935001282266, 8936034875357"
3,VN0001010102230006,"769828221591, 2010805000363"
4,VN0001010102230007,"810051801514, 2601010000165"
5,VN0001010102230009,"8934680045421, 2010101000005, 2010103000010, 2702010000046"
6,VN0001010102230011,"2010101000005, 8935112200005, 2250103000058"
7,VN0001010102230013,"2230103000098, 2010101000005, 8934588673139, 260202000017"
8,VN0001010102230014,"8857099003274, 2250103000058"
9,VN0001010102230015,"2270401000017, 8934563622138, 8936034875357"
10,VN0001010102230016,"2701020000046, 8850228005521, 2270201000002"
11,VN0001010102230018,"8936110050425, 8936076270172, 8936127791014"
12,VN0001010102230019,"8934588063060, 2250103000058"
13,VN0001010102230021,"8938502525351, 260201013661"
14,VN0001010102230026,"8935112200005, 8935217450015, 8935217450015"
15,VN0001010102230029,"2270501000108, 8935049510659"
16,VN0001010102230030,"2270201000002, 2120201000017"
17,VN0001010102230031,"8934964120127, 8410525116711, 4897024510389"
18,VN0001010102230032,"4005292001205, 8934680045650, 8936076270240"
19,VN0001010102230035,"2010904000004, 8935217400096"
20,VN0001010102230038,"8936185350192, 2010904000035, 2120201000017"
21,VN0001010102230039,"2010805000363, 8934673200325"
22,VN0001010102230041,"2010103000010, 8936076270462"
23,VN0001010102230045,"8850393919975, 2260201000485"
24,VN0001010102230048,"2602010136625, 107068781510, 8935001282433"
25,VN0001010102230049,"8934588063053, 8936010532090, 2602010136625"
26,VN0001010102230050,"8938502525344, 2010809000482"
27,VN0001010102230052,"8938502525344, 8934841900286"
28,VN0001010102230054,"2010101000005, 8935112200005"
29,VN0001010102230056,"8938502525344, 2010103000034"
30,VN0001010102230059,"8936088900470, 2260501000031, 2260501000109"
31,VN0001010102230064,"5900020033956, 6942836712228, 2250103000058, 260201013661"
32,VN0001010102230066,"8934614015025, 2250103000058"
33,VN0001010102230067,"8935268201222, 8935217413003, 2250103000058"
34,VN0001010102230068,"8934614015025, 2250103000058"
